[2025-03-06 15:07:02] {GCS_IP=192.168.1.
























































3, timestamp=2025-03-06 15:07:01, systemid=1, alt=null, dist_traveled=null, wp_dist=null, dist_to_home=0.0, vertical_speed=-0.017031772, ground_speed=0.025533186, wind_vel=0.0, airspeed=0.3476008, roll=-0.06, pitch=-0.07, yaw=3.46, ch3percent=null, ch9out=0.0, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0.0, battery_current=0.0}
[2025-03-06 15:07:24] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:24, systemid=1, alt=0.025, dist_traveled=null, wp_dist=0, dist_to_home=8104695.125435949, vertical_speed=-8.244182E-4, ground_speed=0.030828657, wind_vel=0.0, airspeed=0.22830042, roll=-0.07, pitch=-0.08, yaw=2.97, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652411, ch3out=1000}
[2025-03-06 15:07:25] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:25, systemid=1, alt=0.025, dist_traveled=null, wp_dist=0, dist_to_home=8104695.125435949, vertical_speed=-4.134639E-5, ground_speed=0.030636223, wind_vel=0.0, airspeed=0.601744, roll=-0.07, pitch=-0.08, yaw=2.95, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652411, ch3out=1000}
[2025-03-06 15:07:26] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:26, systemid=1, alt=0.008, dist_traveled=null, wp_dist=0, dist_to_home=8104695.125435949, vertical_speed=-0.0012334011, ground_speed=0.030667499, wind_vel=0.0, airspeed=0.98716205, roll=-0.07, pitch=-0.08, yaw=2.93, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652411, ch3out=1000}
[2025-03-06 15:07:27] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:27, systemid=1, alt=-0.007, dist_traveled=null, wp_dist=0, dist_to_home=8104695.125435949, vertical_speed=-0.0011853864, ground_speed=0.030814638, wind_vel=0.0, airspeed=0.6908745, roll=-0.07, pitch=-0.08, yaw=2.91, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652411, ch3out=1000}
[2025-03-06 15:07:28] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:28, systemid=1, alt=-0.008, dist_traveled=null, wp_dist=0, dist_to_home=8104695.125435949, vertical_speed=0.0025374407, ground_speed=0.030414047, wind_vel=0.0, airspeed=0.914273, roll=-0.07, pitch=-0.08, yaw=2.89, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652411, ch3out=1000}
[2025-03-06 15:07:29] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:29, systemid=1, alt=0.023, dist_traveled=null, wp_dist=0, dist_to_home=8104695.125435949, vertical_speed=0.0056646126, ground_speed=0.030325672, wind_vel=0.0, airspeed=0.5515493, roll=-0.07, pitch=-0.08, yaw=2.87, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652411, ch3out=1000}
[2025-03-06 15:07:31] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:30, systemid=1, alt=0.031, dist_traveled=null, wp_dist=0, dist_to_home=8104695.125435949, vertical_speed=0.0060270266, ground_speed=0.030129021, wind_vel=0.0, airspeed=0.1294566, roll=-0.07, pitch=-0.08, yaw=2.85, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652411, ch3out=1000}
[2025-03-06 15:07:32] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:31, systemid=1, alt=0.022, dist_traveled=null, wp_dist=0, dist_to_home=8104695.125435949, vertical_speed=0.004546823, ground_speed=0.030388977, wind_vel=0.0, airspeed=0.739097, roll=-0.07, pitch=-0.08, yaw=2.83, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652411, ch3out=1000}
[2025-03-06 15:07:33] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:32, systemid=1, alt=0.014, dist_traveled=null, wp_dist=0, dist_to_home=8104695.125435949, vertical_speed=0.0032789782, ground_speed=0.030811926, wind_vel=0.0, airspeed=1.0423228, roll=-0.07, pitch=-0.08, yaw=2.81, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652411, ch3out=1000}
[2025-03-06 15:07:34] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:33, systemid=1, alt=-0.016, dist_traveled=null, wp_dist=0, dist_to_home=8104695.125435949, vertical_speed=0.0025102934, ground_speed=0.030766424, wind_vel=0.0, airspeed=1.0513172, roll=-0.07, pitch=-0.08, yaw=2.79, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652411, ch3out=1000}
